GeoFips,GeoName,DPI_2014
0,United States,12904591000
1000,Alabama,165006231
2000,Alaska,36224859
4000,Arizona,229824065
5000,Arkansas,101260141
6000,California,1668232072
8000,Colorado,229183071
9000,Connecticut,194902674
10000,Delaware,38594635
11000,District of Columbia,39269091
12000,Florida,761637987
13000,Georgia,350256353
15000,Hawaii,58640307
16000,Idaho,54179635
17000,Illinois,532411849
18000,Indiana,233486127
19000,Iowa,125021007
20000,Kansas,116191322
21000,Kentucky,148207019
22000,Louisiana,176526975
23000,Maine,48576806
24000,Maryland,280295336
25000,Massachusetts,334046624
26000,Michigan,358235401
27000,Minnesota,231113016
28000,Mississippi,94594478
29000,Missouri,225575377
30000,Montana,36341355
31000,Nebraska,80084267
32000,Nevada,103475955
33000,New Hampshire,62959410
34000,New Jersey,444987688
35000,New Mexico,70353945
36000,New York,913574416
37000,North Carolina,347313157
38000,North Dakota,36233538
39000,Ohio,435449391
40000,Oklahoma,152679278
41000,Oregon,142751984
42000,Pennsylvania,538783439
44000,Rhode Island,45277513
45000,South Carolina,159751111
46000,South Dakota,35105349
47000,Tennessee,243182099
48000,Texas,1104922033
49000,Utah,98839925
50000,Vermont,26060296
51000,Virginia,367534237
53000,Washington,313619742
54000,West Virginia,60480629
55000,Wisconsin,225144409
56000,Wyoming,28193376
91000,New England,711823323
92000,Mideast,2255504605
93000,Great Lakes,1784727177
94000,Plains,849323876
95000,Southeast,2975750417
96000,Southwest,1557779321
97000,Rocky Mountain,446737362
98000,Far West,2322944919
